,Edad,Hombres,Mujeres
0,100+ años,159 920,574 932
1,95 - 99 años,1 659 265,4 133 829
2,90 - 94 años,6 540 753,12 857 020
3,85 - 89 años,18 255 270,29 634 339
4,80 - 84 años,35 507 345,49 637 312
5,75 - 79 años,61 612 590,77 425 335
6,70 - 74 años,136 100 196,117 184 094
7,65 - 69 años,136 100 196,148 476 362
8,60 - 64 años,170 031 611,177 732 671
9,55 - 59 años,205 504 168,209 450 494
10,50 - 54 años,231 003 893,231 019 046
11,45 - 49 años,241 649 672,238 803 234
12,40 - 44 años,260 601 267,255 225 919
13,35 - 39 años,296 622 046,286 876 745
14,30 - 34 años,307 444 884,292 234 061
15,25 - 29 años,305 427 376,286 973 075
16,20 - 24 años,311 368 047,291 116 561
17,15 - 19 años,324 413 148,303 005 462
18,10 - 14 años,338 152 605,316 682 136
19,5 - 9 años,346 164 925,325 217 960
20,0 - 4 años,349 065 084,328 767 998
